player_name,role,input_tokens,estimated_output_tokens,total_tokens,model
Bob,Impostor,1290,20,1310,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1242,20,1262,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1405,20,1425,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1572,20,1592,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1300,20,1320,anthropic/claude-3.5-sonnet
Alice,Crewmate,1133,20,1153,meta-llama/llama-3.1-405b-instruct
Charlie,Crewmate,1052,20,1072,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1193,20,1213,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1290,20,1310,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1290,20,1310,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1042,20,1062,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1183,20,1203,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1280,20,1300,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1290,20,1310,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1242,20,1262,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1183,20,1203,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1280,20,1300,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1290,20,1310,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1242,20,1262,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1405,20,1425,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1280,20,1300,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1532,20,1552,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1484,20,1504,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1645,20,1665,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1814,20,1834,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1373,20,1393,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1242,20,1262,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1405,20,1425,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1572,20,1592,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1373,20,1393,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1242,20,1262,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1405,20,1425,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1572,20,1592,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1414,20,1434,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1366,20,1386,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1405,20,1425,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1572,20,1592,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,1473,20,1493,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1425,20,1445,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1586,20,1606,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1572,20,1592,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2234,20,2254,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2186,20,2206,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2347,20,2367,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,2516,20,2536,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2057,20,2077,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1484,20,1504,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1645,20,1665,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1814,20,1834,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2057,20,2077,anthropic/claude-3.5-sonnet
Charlie,Crewmate,1484,20,1504,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1645,20,1665,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1814,20,1834,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2118,20,2138,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2070,20,2090,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,1645,20,1665,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1814,20,1834,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2173,20,2193,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2125,20,2145,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2286,20,2306,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,1814,20,1834,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2641,20,2661,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2593,20,2613,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2754,20,2774,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,2923,20,2943,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2496,20,2516,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2186,20,2206,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2347,20,2367,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,2516,20,2536,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2496,20,2516,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2186,20,2206,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2347,20,2367,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,2516,20,2536,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2567,20,2587,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2519,20,2539,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2347,20,2367,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,2516,20,2536,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2604,20,2624,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2556,20,2576,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2717,20,2737,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,2516,20,2536,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,3234,20,3254,anthropic/claude-3.5-sonnet
Charlie,Crewmate,3186,20,3206,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,3347,20,3367,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,3516,20,3536,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,3001,20,3021,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2593,20,2613,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2754,20,2774,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,2923,20,2943,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,3001,20,3021,anthropic/claude-3.5-sonnet
Charlie,Crewmate,2593,20,2613,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2754,20,2774,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,2923,20,2943,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,3082,20,3102,anthropic/claude-3.5-sonnet
Charlie,Crewmate,3034,20,3054,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,2754,20,2774,meta-llama/llama-3.1-405b-instruct
